blur_jpg_prob0.5 model testing on...
testset,accuracy,avg precision
progan,1.0,1.0
stylegan,0.7745785344683692,0.9932998850527072
biggan,0.5945,0.9039366749585869
cyclegan,0.846328538985617,0.9791224345925935
stargan,0.8471735867933967,0.9750857115285159
gaugan,0.8285,0.987700792024276
crn,0.977984957693513,0.9997249354631624
imle,0.9879348166718896,0.9998508483529318
seeingdark,0.9388888888888889,0.9955720437896626
san,0.5,0.6282450614892146
deepfake,0.5039777983348751,0.6309536494610913
stylegan2,0.7235853780671007,0.991423331609389
whichfaceisreal,0.7515,0.9995844464872966
